Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
The Legends Begin (Darkmouth #1),Shane Hegarty,"Hegarty, Shane",,62311255,9.78006E+12,3,3.81,416,2015,2015,4/26/23,4/26/23,,,read
"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,,,5,4.04,296,2022,2022,4/23/23,4/23/23,,,read
"Let's Explore Diabetes with Owls: Essays, Etc.",David Sedaris,"Sedaris, David",,316154695,9.78032E+12,4,3.85,275,2013,2013,4/17/23,4/17/23,,,read
Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,,,3,4.28,390,2022,2022,4/9/23,4/9/23,,,read
The Nineties,Chuck Klosterman,"Klosterman, Chuck",,735217955,9.78074E+12,4,3.87,370,2022,2022,4/8/23,4/8/23,,,read
Under an Outlaw Moon,Dietrich Kalteis,"Kalteis, Dietrich",,1770415475,9.78177E+12,4,3.3,240,2021,,4/5/23,4/5/23,,,read
The Song of Achilles,Madeline Miller,"Miller, Madeline",,1408816032,9.78141E+12,4,4.3,352,2011,2011,3/26/23,10/17/20,,,read
Number One Is Walking: My Life in the Movies and Other Diversions,Steve  Martin,"Martin, Steve",Harry Bliss,1250815290,9.78125E+12,3,3.72,256,2022,2022,3/13/23,3/13/23,,,read
"Tress of the Emerald Sea (Hoid's Travails, #1)",Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,,,4,4.32,443,2023,2023,3/11/23,3/11/23,,,read
"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,4,4.12,144,2017,2017,3/2/23,12/20/19,,,read
"The Unexpected Mrs. Pollifax (Mrs. Pollifax, #1)",Dorothy Gilman,"Gilman, Dorothy",,449208281,9.78045E+12,4,4.16,204,1983,1966,2/26/23,2/26/23,,,read
Potter's Field,Mark Waid,"Waid, Mark",Paul Azaceta,1934506605,9.78193E+12,5,3.63,112,2010,2009,2/19/23,2/19/23,,,read
The Fifth Season (The Broken Earth #1),N.K. Jemisin,"Jemisin, N.K.",,,,4,4.29,468,2015,2015,2/17/23,2/17/23,,,read
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,1405293187,9.78141E+12,4,4.28,433,2019,2019,2/16/23,2/16/23,,,read
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,"Gwynne, S.C.",,1416591052,9.78142E+12,4,4.25,371,2010,2010,2/6/23,10/2/20,,,read
The Eighth Detective,Alex Pavesi,"Pavesi, Alex",,125075593X,9.78125E+12,3,3.51,304,2020,2020,2/2/23,2/2/23,,,read
"Black Hammer, Vol. 1: Secret Origins",Jeff Lemire,"Lemire, Jeff",Dean Ormston,1616557869,9.78162E+12,4,4.17,184,2017,2017,1/19/23,1/20/23,,,read
The Silent Patient,Alex Michaelides,"Michaelides, Alex",,1250301696,9.78125E+12,3,4.17,336,2019,2019,1/8/23,12/11/19,,,read
The Escapists,Brian K. Vaughan,"Vaughan, Brian K.","Jason Alexander, Steve Rolston, Various",1593078315,9.78159E+12,4,3.89,208,2007,2007,12/30/22,12/30/22,,,read
"Superman: Earth One, Volume 3",J. Michael Straczynski,"Straczynski, J. Michael",Ardian Syaf,1401241840,9.7814E+12,4,3.97,136,2015,2015,12/29/22,12/30/22,,,read
"Superman: Earth One, Volume 2",J. Michael Straczynski,"Straczynski, J. Michael",Shane Davis,1401231969,9.7814E+12,3,3.97,128,2012,2012,12/28/22,12/30/22,,,read
"Superman: Earth One, Volume 1",J. Michael Straczynski,"Straczynski, J. Michael","Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh",1401224687,9.7814E+12,3,3.92,144,2010,2010,12/27/22,12/30/22,,,read
"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)",Christopher Moore,"Moore, Christopher",,60842350,9.78006E+12,4,3.8,306,2005,2004,12/15/22,9/25/07,,,read
Doctor Who: The Twelve Doctors of Christmas,Jacqueline Rayner,"Rayner, Jacqueline","Colin Brake, Richard Dungworth, Mike Tucker, Gary Russell, Scott Handcock, Rob Biddulph, Staffan Gnosspelius, Stewart Easton, Jennifer Skemp, Rohan Eason, Captain Kris, Ashling Lindsay, Tom Duxbury, Nick Harris, Melissa Castrillón, Sara Gianassi, Charlie Sutcliffe",1405928956,9.78141E+12,3,3.89,318,2016,2016,12/12/22,12/12/22,,,read
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,1529105102,9.78153E+12,2,4.56,128,2019,2019,12/4/22,12/5/22,,,read
The Remarkable Journey of Coyote Sunrise (Coyote Sunrise #1),Dan Gemeinhart,"Gemeinhart, Dan",,,9.78125E+12,4,4.44,352,2019,2019,12/4/22,12/4/22,,,read
Loki: Mistress Of Mischief,J. Michael Straczynski,"Straczynski, J. Michael","Jason Aaron, Peter Milligan, Olivier Coipel, Russell Dauterman, Tonci Zonjic",1302932802,9.7813E+12,3,3.44,200,2021,2021,11/30/22,11/30/22,,,read
"Becoming Superman: My Journey from Poverty to Hollywood with Stops Along the Way at Murder, Madness, Mayhem, Movie Stars, Cults, Slums, Sociopaths, and War Crimes",J. Michael Straczynski,"Straczynski, J. Michael",Neil Gaiman,62857843,9.78006E+12,5,4.64,460,2019,2019,11/29/22,11/29/22,,,read
The Sleeper and the Spindle,Neil Gaiman,"Gaiman, Neil",Chris Riddell,1408859645,9.78141E+12,4,3.87,68,2014,2013,11/14/22,11/14/22,,,read
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,241512425,9.78024E+12,5,4.35,413,2022,2022,11/12/22,10/29/21,,,read
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,"Handler, Chelsea",,1582346186,9.78158E+12,3,3.79,213,2005,2004,11/11/22,11/11/22,,,read
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"Housel, Morgan",,,,5,4.28,242,2020,2020,11/5/22,11/5/22,,,read
The Paris Apartment,Lucy Foley,"Foley, Lucy",,63003058,9.78006E+12,4,3.64,360,2022,2022,10/26/22,10/26/22,,,read
Hark! A Vagrant,Kate Beaton,"Beaton, Kate",,1770460608,9.78177E+12,4,4.2,166,2011,2011,10/20/22,10/20/22,,,read
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"Rice, Anne",,345476875,9.78035E+12,3,4.02,346,2004,1976,10/13/22,10/13/22,,,read
The Winter People,Jennifer  McMahon,"McMahon, Jennifer",,385538499,9.78039E+12,4,3.82,317,2014,2014,10/6/22,10/6/22,,,read
Clockwork,Philip Pullman,"Pullman, Philip",Leonid Gore,043985623X,9.78044E+12,4,3.87,144,2006,,10/6/22,10/6/22,,,read
Nothing But Blackened Teeth,Cassandra Khaw,"Khaw, Cassandra",,1250759412,9.78125E+12,3,2.63,125,2021,2021,9/28/22,9/28/22,,,read
Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,61139378,9.78006E+12,4,4.13,208,2006,2002,9/25/22,6/17/18,,,read
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,"Christie, Agatha",,,,3,4.12,352,1978,1937,9/21/22,9/21/22,,,read
The Hellbound Heart,Clive Barker,"Barker, Clive",,61002828,9.78006E+12,4,4.08,164,1991,1986,9/19/22,9/19/22,,,read
The Souvenir Museum,Elizabeth McCracken,"McCracken, Elizabeth",,006297128X,9.78006E+12,4,3.46,256,2021,2021,9/15/22,9/15/22,,,read
"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,593356152,9.78059E+12,4,3.75,304,2022,2022,9/8/22,9/8/22,,,read
The Old Woman with the Knife,Gu Byeong-mo,"Byeong-mo, Gu",Chi-Young Kim,1335425764,9.78134E+12,3,3.49,288,2022,2013,8/31/22,8/31/22,,,read
The Dog Who Could Fly: The Incredible True Story of a WWII Airman and the Four-Legged Hero Who Flew At His Side,Damien Lewis,"Lewis, Damien",,1476739145,9.78148E+12,3,4.28,288,2014,2013,8/23/22,8/23/22,,,read
The Magician's Assistant,Ann Patchett,"Patchett, Ann",,,,5,3.73,357,1998,1997,8/18/22,9/11/20,,,read
"The Library of the Dead (Edinburgh Nights, #1)",T.L. Huchu,"Huchu, T.L.",,1250767768,9.78125E+12,4,3.48,330,2021,2021,8/15/22,5/21/22,,,read
Blankets,Craig Thompson,"Thompson, Craig",,1891830430,9.78189E+12,5,4.06,582,2003,2003,8/10/22,5/6/20,,,read
McCay,Thierry Smolderen,"Smolderen, Thierry","Jean-Phillipe Bramanti, Edward Gauvin",1785868853,9.78179E+12,3,3.15,232,2018,,7/22/22,7/22/22,,,read
The Bazaar of Bad Dreams,Stephen  King,"King, Stephen",,1501111671,9.7815E+12,4,3.91,495,2015,2015,7/17/22,7/17/22,,,read
Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,525657746,9.78053E+12,4,4.23,256,2021,2021,7/12/22,7/12/22,,,read
Pulp,Ed Brubaker,"Brubaker, Ed","Sean Phillips, Jacob Phillips",1534316442,9.78153E+12,4,4.31,72,2020,2020,7/1/22,7/1/22,,,read
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"Brown, Daniel James",,067002581X,9.78067E+12,5,4.39,404,2013,2013,6/30/22,6/30/22,,,read
Barbara the Slut and Other People,Lauren   Holmes,"Holmes, Lauren",,1594633789,9.78159E+12,4,3.54,272,2015,2014,6/13/22,12/21/15,,,read
"My Sister, the Serial Killer",Oyinkan Braithwaite,"Braithwaite, Oyinkan",,385544235,9.78039E+12,3,3.64,226,2018,2018,6/6/22,6/6/22,,,read
Artemis,Andy Weir,"Weir, Andy",,553448129,9.78055E+12,4,3.68,305,2017,2017,6/4/22,12/25/17,,,read
"Fortunately, the Milk",Neil Gaiman,"Gaiman, Neil",Skottie Young,62224077,9.78006E+12,3,4.05,128,2013,2013,5/27/22,5/27/22,,,read
You Can’t Be Serious,Kal Penn,"Penn, Kal",,1982171383,9.78198E+12,3,4.2,368,2021,2021,5/19/22,5/21/22,,,read
"The Cruelest Month (Chief Inspector Armand Gamache, #3)",Louise Penny,"Penny, Louise",,755328949,9.78076E+12,3,4.15,310,2008,2007,5/7/22,5/7/22,,,read
Rasco and the Rats of NIMH,Jane Leslie Conly,"Conly, Jane Leslie",,,,3,3.77,280,1986,1986,4/26/22,4/26/22,,,read
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,"Simsion, Graeme",,1476729085,9.78148E+12,4,4.01,292,2013,2013,4/25/22,4/26/22,,,read
The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,3,4.14,258,2005,1989,4/13/22,4/13/22,,,read
Under the Dome,Stephen  King,"King, Stephen",,1439148503,9.78144E+12,3,3.93,1074,2009,2009,4/10/22,4/10/22,,,read
Where the Crawdads Sing,Delia Owens,"Owens, Delia",,735219117,9.78074E+12,4,4.37,384,2018,2018,4/2/22,9/2/19,,,read
"A Fatal Grace (Chief Inspector Armand Gamache, #2)",Louise Penny,"Penny, Louise",,312352565,9.78031E+12,4,4.09,311,2007,2006,3/21/22,3/21/22,,,read
Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,385689225,9.78039E+12,4,4.49,289,2016,2016,3/19/22,3/19/22,,,read
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,"O'Brien, Robert C.",,689862202,9.78069E+12,4,4.17,240,2003,1971,3/7/22,3/7/22,,,read
"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,60557818,9.78006E+12,4,4.16,370,2003,1996,2/28/22,2/28/22,,,read
Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,4,3.74,418,2021,2021,2/18/22,1/1/21,,,read
The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,63076098,9.78006E+12,4,4.43,384,2021,2021,2/8/22,11/2/21,,,read
The Last Flight,Julie   Clark,"Clark, Julie",,1728215722,9.78173E+12,4,4.1,320,2020,2020,2/6/22,2/6/22,,,read
Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,1982168439,9.78198E+12,3,4.25,626,2021,2021,1/30/22,1/30/22,,,read
"A Man With One of Those Faces (Dublin Trilogy publication order, #1; Dublin Trilogy chronological order, #6)",Caimh McDonnell,"McDonnell, Caimh",,995507511,,4,4.04,364,2016,2016,1/29/22,1/30/22,,,read
"The Book of Magic (Practical Magic, #2)",Alice Hoffman,"Hoffman, Alice",,198215148X,9.78198E+12,3,4.15,378,2021,2021,1/18/22,2/18/21,,,read
Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel",,,2,3.9,464,2002,1847,1/3/22,1/3/22,,,read
The Lincoln Highway,Amor Towles,"Towles, Amor",,735222355,9.78074E+12,4,4.22,576,2021,2021,12/18/21,7/5/21,,,read
